"device","value","footprint","loadstatus","vendor","vendor_part_number","quantity","refdes"
"ANTENNA","GPS_patch","GPS3100","noload","semiconductorstore","FGPS35084-XX-XX","1","A1"
"CONNECTOR","LiPo","B2B-PH","throughhole","digikey","A100034-ND","1","B1"
"CONNECTOR","LiPo","B2B-PH","noload","digikey","A100034-ND","1","B2"
"CAPACITOR","0.1uF","0402","smt","digikey","399-3027-1-ND","7","C10 C12 C13 C20 C28 C6 C9"
"CAPACITOR","47pF","0402","smt","digikey","399-1019-1-ND","3","C11 C2 C3"
"CAPACITOR","4.7uF","0402","smt","digikey","PCC2475CT-ND","3","C14 C16 C7"
"CAPACITOR","0.22uF","0402","smt","digikey","587-1228-1-ND","1","C15"
"CAPACITOR","1uF","0402","smt","digikey","490-1320-1-ND","4","C19 C37 C4 C5"
"CAPACITOR","220pF","0402","smt","digikey","587-1215-1-ND","4","C21 C26 C27 C29"
"CAPACITOR","3.9pF","0402","smt","digikey","490-1272-1-ND","2","C22 C25"
"CAPACITOR","8.2pF","0402","smt","digikey","587-1946-1-ND","1","C23"
"CAPACITOR","5.6pF","0402","smt","digikey","490-1275-1-ND","1","C24"
"CAPACITOR","22pF","0402","smt","digikey","490-1283-1-ND","3","C30 C31 C35"
"CAPACITOR","100uF","1206","smt","digikey","490-4512-1-ND","1","C32"
"CAPACITOR","0.001uF","0402","smt","digikey","445-2651-1-ND","3","C34 C36 C8"
"LED","yellow","0603diode","smt","digikey","160-1437-1-ND","1","D1"
"LED","red","0603diode","smt","digikey","160-1433-1-ND","1","D2"
"HOLE_PLATED","unknown","hole-M3","noload","none","unknown","4","H1 H2 H3 H4"
"CONNECTOR","U.FL","ufl","smt","digikey","WM5587CT-ND","1","J10"
"CONNECTOR","Pyro","282834-6","noload","digikey","A1923-ND","1","J4"
"CONNECTOR","miniUSB","548190572","smt","digikey","WM17116CT-ND","1","J5"
"CONNECTOR","Debug","0-215079-4","throughhole","digikey","A99472CT-ND","1","J6"
"CONNECTOR","SMA","sma-edge","noload","digikey","CONSMA003.062-ND","1","J8"
"CONNECTOR","CompanionInterface","0-338068-8","throughhole","digikey","A99436CT-ND","1","J9"
"INDUCTOR","27nH","0402","smt","digikey","490-2628-1-ND","5","L1 L3 L4 L5 L6"
"INDUCTOR","22nH","0402","smt","digikey","490-2627-1-ND","1","L2"
"MOSFET","FDS9926A","SO8","smt","digikey","FDS9926ACT-ND","1","Q1"
"RESISTOR","5k","0402","smt","digikey","311-5.10KLRCT-ND","2","R10 R5"
"RESISTOR","10k","0402","smt","digikey","RMCF1/16S10K1%RCT-ND","5","R11 R2 R24 R3 R4"
"RESISTOR","270","0402","smt","digikey","541-270LCT-ND","2","R13 R9"
"RESISTOR","100k","0402","smt","digikey","RMCF1/16S100KFRCT-ND","2","R14 R15"
"RESISTOR","56k","0402","smt","digikey","RHM56.0KLCT-ND","1","R16"
"RESISTOR","2.7k","0402","smt","digikey","RHM2.70KLCT-ND","1","R17"
"RESISTOR","100","0402","smt","digikey","P100JCT-ND","2","R19 R20"
"RESISTOR","27k","0402","smt","digikey","311-27KJRCT-ND","2","R21 R22"
"RESISTOR","33k","0402","smt","digikey","311-33KJRCT-ND","1","R23"
"RESISTOR","1.5k","0402","smt","digikey","RMCF1/16S1.5K1%RCT-ND","1","R6"
"RESISTOR","33","0402","smt","digikey","RHM33.0LCT-ND","2","R7 R8"
"TestPoint","unknown","testpoint","noload","none","unknown","4","TP1 TP2 TP3 TP4"
"IC","TC1055-3.3","SOT23-5","smt","digikey","TC10553.3VCT713CT-ND","1","U1"
"IC","Venus634FLPx","Venus634FLPx","smt","sparkfun","GPS-09060","1","U10"
"IC","MAX1555","SOT23-5","smt","maxim","MAX1555EZK+","1","U2"
"IC","MMA2202EG","MOT475-01","smt","digikey","MMA2202EG-ND","1","U3"
"IC","LTC1682-5","SO8","smt","digikey","LTC1682CS8-5#PBF-ND","1","U4"
"IC","AT45DB161D","SOIJ8","smt","digikey","AT45DB161D-SU-ND","1","U5"
"IC","MP3H6115A","MOT1317","smt","digikey","MP3H6115A6U-ND","1","U6"
"BEEPER","TDK_PS12","TDK_PS12","throughhole","digikey","445-2525-1-ND","1","U8"
"IC","CC1111","QFN36","smt","digikey","296-22684-1-ND","1","U9"
"CRYSTAL","48mhz","ABM8","smt","digikey","535-9149-1-ND","1","X1"
